,SMILES,logS,Processed_SMILES
1178,NC1=C(C=C(NC2=CC=C(NC(=O)C(Br)=C)C=C2S([O-])(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S([O-])(=O)=O,-1.0618038915,C=C(Br)C(=O)NC1=CC=C(NC2=CC(S(=O)(=O)[O-])=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)C(S(=O)(=O)[O-])=C1
2911,COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)CC2=C(O)C3=C(OCO3)C=C12,-4.1254,COC1=CC(C2C3=CC4=C(OCO4)C(O)=C3CC3COC(=O)C32)=CC(OC)=C1O
511,CN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.3087460931,C=CC(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2278,O=C1N=CNC2=C1NC=N2,-2.2888,O=C1N=CNC2=C1NC=N2
6054,CC(=O)N1N=CC2=C1NC=NC2=O,-2.38,CC(=O)N1N=CC2=C1NC=NC2=O
6166,COC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C,-1.24,COC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C
785,CCCCCCCCCCCC(=O)N(CCCC)CCCC,-7.016412076799999,CCCCCCCCCCCC(=O)N(CCCC)CCCC
6573,[NH3+]CCNCCNCC[NH3+],0.835,[NH3+]CCNCCNCC[NH3+]
36,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
1696,CC1=NC2=CC=C(C=C2C1(C)C)C([O-])=O,-2.6625890537,CC1=NC2=CC=C(C(=O)[O-])C=C2C1(C)C
4596,COC(=O)C1(CC1)S(=O)(=O)C1=CC=CC=C1,-2.2601,COC(=O)C1(S(=O)(=O)C2=CC=CC=C2)CC1
7487,CCCCC(CO[N+]([O-])=O)O[N+]([O-])=O,-3.1,CCCCC(CO[N+](=O)[O-])O[N+](=O)[O-]
5891,CNC(=O)C1=CC=C(N)C=C1,-1.24,CNC(=O)C1=CC=C(N)C=C1
1998,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4541441757,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
4363,CCSC(C([O-])=O)C1=CC=CC=C1,-1.5686,CCSC(C(=O)[O-])C1=CC=CC=C1
306,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,-3.937488879,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
1675,CNS(=O)(=O)C1=CC(OC)=C(N)C=C1C,-2.5769433589,CNS(=O)(=O)C1=CC(OC)=C(N)C=C1C
1216,O=C1[N-]C(=O)[C-]([N+]#N)C(=O)[N-]1,-1.4717570191,N#[N+][C-]1C(=O)[N-]C(=O)[N-]C1=O
321,CCCCCCCCCCCC1=[NH+]CCN1CCO,-3.8986556211,CCCCCCCCCCCC1=[NH+]CCN1CCO
6731,CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,-2.98,CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
429,CC1=CC=C(C=C1[N+]([O-])=O)C([O-])=O,-2.8480980227,CC1=CC=C(C(=O)[O-])C=C1[N+](=O)[O-]
7929,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-5.12,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
3490,CC(Br)CCl,-1.8476,CC(Br)CCl
2967,CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O,-1.5686,CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O
4532,COC(=O)C1=CC=CC=C1CS(=O)(=O)[N-]C(=O)NC1=NC(OC)=CC(OC)=N1,-3.534,COC(=O)C1=CC=CC=C1CS(=O)(=O)[N-]C(=O)NC1=NC(OC)=CC(OC)=N1
2542,CCCCOCCOCCO,0.7899,CCCCOCCOCCO
2449,CCN(CC)C[NH+](CC)CC,-0.1995,CCN(CC)C[NH+](CC)CC
805,OCCOC(=O)CC(CP1(=O)OC2=CC=CC=C2C2=CC=CC=C12)C(=O)OCCO,-4.4617795617,O=C(CC(CP1(=O)OC2=CC=CC=C2C2=CC=CC=C21)C(=O)OCCO)OCCO
476,COCC1=CC=C(O)C(OC)=C1,-1.8934476814,COCC1=CC=C(O)C(OC)=C1
2483,CCOP(=O)(OCC)OP(=O)(OCC)OCC,0.5373,CCOP(=O)(OCC)OP(=O)(OCC)OCC
6216,ClC1=CC=CC(Cl)=C1OC1=CC(Cl)=C(Cl)C=C1,-6.56,ClC1=CC=CC(Cl)=C1OC1=CC(Cl)=C(Cl)C=C1
5054,ClC1=CC=C(C=C1)C1=CC=C(Cl)C(Cl)=C1,-6.5541,ClC1=CC=C(C2=CC=C(Cl)C(Cl)=C2)C=C1
2871,C=C1CCOC1=O,0.1844,C=C1CCOC1=O
2182,COC1=CC(=CC=C1N=NC1=CC=C(O)C=C1)N=NC1=CC=C(C=C1)[N+]([O-])=O,-6.9639720065,COC1=CC(N=NC2=CC=C([N+](=O)[O-])C=C2)=CC=C1N=NC1=CC=C(O)C=C1
7808,CC1CO1,0.8380333836,CC1CO1
2055,COC1=CC(OC)=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C(N=NC2=CC(=CC=C2OC)C(=O)NC2=CC=C(C=C2)C(N)=O)=C1O,-7.8662401992,COC1=CC=C(C(=O)NC2=CC=C(C(N)=O)C=C2)C=C1N=NC1=C(O)C(C(=O)NC2=CC(Cl)=C(OC)C=C2OC)=CC2=CC=CC=C21
1101,CCCCC(CC)(CO)CO,-1.2603343364,CCCCC(CC)(CO)CO
5227,[O-]C(=O)C1=CC=CC=C1C1=CC=CC=C1C([O-])=O,-2.2839,O=C([O-])C1=CC=CC=C1C1=CC=CC=C1C(=O)[O-]
5052,ClC1=CC=CC(=C1)C1=CC(Cl)=CC=C1Cl,-6.0077,ClC1=CC=CC(C2=CC(Cl)=CC=C2Cl)=C1
405,CC(=O)OCC=CC1=CC=CC=C1,-2.7927245342,CC(=O)OCC=CC1=CC=CC=C1
7769,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.77,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
2163,CCCCCCCCCCOC(=O)C(CC)CCCC,-8.1939864578,CCCCCCCCCCOC(=O)C(CC)CCCC
7260,NC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C([O-])=O,-0.8,NC1=CC=C(S(=O)(=O)NC2=C(C(=O)[O-])C=CC=C2)C=C1
5924,CC(=O)C1=CC=C(C=C1)N=C=S,-4.02,CC(=O)C1=CC=C(N=C=S)C=C1
608,CCCCOC(=O)CSCSCC(=O)OCCCC,-4.3430778582,CCCCOC(=O)CSCSCC(=O)OCCCC
7771,C#[O+],-3.2920233513,C#[O+]
504,CC1CCC2=C1CC(CCC2C)C(C)(C)OC(C)=O,-5.022602512200001,CC(=O)OC(C)(C)C1CCC(C)C2=C(C1)C(C)CC2
7618,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F,-1.8,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=CC=C(F)C=C1F
1794,CCOC(=O)C1C(C2=CC=CC=C2Cl)C(C(=O)OC)=C(C)NC1=COCCN1C(=O)C2=CC=CC=C2C1=O,-4.5011269518,CCOC(=O)C1C(=COCCN2C(=O)C3=CC=CC=C3C2=O)NC(C)=C(C(=O)OC)C1C1=CC=CC=C1Cl
7932,NC(=O)NN=CC(O)C(O)C(O)CO,-0.1288,NC(=O)NN=CC(O)C(O)C(O)CO
3932,CC1=NN=C(N)N=C1C,-1.0939,CC1=NN=C(N)N=C1C
102,CCCCCCCCCCCCOCCO,-1.4593774078,CCCCCCCCCCCCOCCO
1333,CC1CC(CC2CCC([NH3+])C(C)C2)CCC1[NH3+],-1.8210383613,CC1CC(CC2CCC([NH3+])C(C)C2)CCC1[NH3+]
3021,OCC1=CC=C(C=C1)[N+]([O-])=O,-1.8841,O=[N+]([O-])C1=CC=C(CO)C=C1
6296,CCCN1C2=C(NC(=N2)C2CCC(=O)C2)C(=O)N(CCC)C1=O,-3.16,CCCN1C(=O)C2=C(N=C(C3CCC(=O)C3)N2)N(CCC)C1=O
4781,C1=CC2=C(C=C1)C1=C3C(C=CC4=C3C(C=C1)=CC=C4)=C2,-8.1924,C1=CC2=C(C=C1)C1=C3C(=C2)C=CC2=C3C(=CC=C2)C=C1
7060,CCC1(CC)C(=O)N(C)N(C1=O)C1=CC=CC=C1,-2.69,CCC1(CC)C(=O)N(C)N(C2=CC=CC=C2)C1=O
5232,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C=O,-2.4154,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O
3366,[O-]C(=O)C1=CC=CC=C1C(=O)C1=CC=C(Br)C=C1,-3.0074,O=C([O-])C1=CC=CC=C1C(=O)C1=CC=C(Br)C=C1
4252,CN=C(NCCSCC1=C(C)N=CN1)NC#N,-1.4298,CN=C(NC#N)NCCSCC1=C(C)N=CN1
7337,[O-][N+](=O)C1=CC=C(O1)C1=NC2=CC=CC=C2N1,-3.89,O=[N+]([O-])C1=CC=C(C2=NC3=CC=CC=C3N2)O1
4533,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC(Cl)=C(F)C(Cl)=C1F,-7.3023,O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC(Cl)=C(F)C(Cl)=C1F
6501,CC(C)CC(NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(O)CC(=O)NC(CC(C)C)C(=O)NCC1=CC=[N+]([O-])C=C1,-2.38,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)NCC1=CC=[N+]([O-])C=C1
2346,CN1CC[NH+](CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,-2.4255,CN1CC[NH+](C(C2=CC=CC=C2)C2=CC=CC=C2)CC1
3806,COC1=CC=C(Cl)C=C1C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)[N-]C(=O)NC1CCCCC1,-5.0917,COC1=CC=C(Cl)C=C1C(=O)NCCC1=CC=C(S(=O)(=O)[N-]C(=O)NC2CCCCC2)C=C1
5926,[O-]C(=O)C(S)=CC1=CC=CC=C1,-2.96,O=C([O-])C(S)=CC1=CC=CC=C1
245,CC(=O)OC1=CC=C(C=C1)[N+]([O-])=O,-2.5992568252,CC(=O)OC1=CC=C([N+](=O)[O-])C=C1
2813,CC(=O)C1=CC=C(O)C(O)=C1O,-2.0216,CC(=O)C1=CC=C(O)C(O)=C1O
5950,CC(=O)OC1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,-5.35,CC(=O)OC1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C
2226,CCCCCCCCCCCCCCCCCCC1CC(=O)N(CC[NH2+]CCNCC[NH2+]CCN2C(=O)CC(CCCCCCCCCCCCCCCCCC)C2=O)C1=O,-10.2347171749,CCCCCCCCCCCCCCCCCCC1CC(=O)N(CC[NH2+]CCNCC[NH2+]CCN2C(=O)CC(CCCCCCCCCCCCCCCCCC)C2=O)C1=O
7798,[NH3+]C(CS)C([O-])=O,0.6219271018,[NH3+]C(CS)C(=O)[O-]
1277,CN(C)C(=S)SCCCS([O-])(=O)=O,0.1779035996,CN(C)C(=S)SCCCS(=O)(=O)[O-]
6388,CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O,-4.52,CC1=C(C2=CC=C(S(N)(=O)=O)C=C2)C(C2=CC=CC=C2)=NO1
768,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,-6.354159334099999,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1146,N1C=CN=C1,0.9683905422,C1=CNC=N1
3474,COC1=CC=CC(Cl)=C1,-2.783,COC1=CC=CC(Cl)=C1
7224,CS(=O)(=O)C1=CC=C(C=C1)C(N)=[NH2+],-1.38,CS(=O)(=O)C1=CC=C(C(N)=[NH2+])C=C1
4144,CNC(=O)ON=C(C)C(C)SC,-0.7353,CNC(=O)ON=C(C)C(C)SC
4291,CC(C)(NC(=O)C1=CC=CC=C1)C(N)=O,-1.6154,CC(C)(NC(=O)C1=CC=CC=C1)C(N)=O
2524,ClCCCCCl,-0.92,ClCCCCCl
514,CCOC1=CC=CC=C1NC(=O)C1=CC2=CC=CC=C2C=C1O,-5.1866018088,CCOC1=CC=CC=C1NC(=O)C1=CC2=CC=CC=C2C=C1O
5184,CCCCOC(=O)[N-]S(N)(=O)=O,-1.0375,CCCCOC(=O)[N-]S(N)(=O)=O
6832,CCCCOC(=O)C1=CC=C(N)C=C1,-3.06,CCCCOC(=O)C1=CC=C(N)C=C1
1436,[O-]C1=CC=CC=C1[N+]([O-])=O,-1.8029142358,O=[N+]([O-])C1=CC=CC=C1[O-]
3968,NC(=O)OCC(O)C(O)C([NH3+])C(=O)NC(C1OC(C(O)C1O)N1C=C(CO)C(=O)NC1=O)C([O-])=O,0.2946,NC(=O)OCC(O)C(O)C([NH3+])C(=O)NC(C(=O)[O-])C1OC(N2C=C(CO)C(=O)NC2=O)C(O)C1O
5048,ClC1=CC=C(Cl)C(=C1Cl)C1=C(Cl)C=CC(Cl)=C1Cl,-7.9032,ClC1=CC=C(Cl)C(C2=C(Cl)C=CC(Cl)=C2Cl)=C1Cl
5869,[O-]C(=O)C(S)=CC1CCCCC1,-2.67,O=C([O-])C(S)=CC1CCCCC1
2167,CC1=CC(Cl)=CC2=C1C(=O)C(S2)=C1SC2=CC(Cl)=CC(C)=C2C1=O,-7.9319837821,CC1=CC(Cl)=CC2=C1C(=O)C(=C1SC3=CC(Cl)=CC(C)=C3C1=O)S2
5085,COP(=S)(OC)OC1=CC=C(SC)C(C)=C1,-4.5695,COP(=S)(OC)OC1=CC=C(SC)C(C)=C1
5382,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.25,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O
6396,CC1=NC=C2CN=C(C3=C(F)C=CC=C3)C3=C(C=CC(Cl)=C3)N12,-4.13,CC1=NC=C2CN=C(C3=C(F)C=CC=C3)C3=C(C=CC(Cl)=C3)N21
5042,BrC1=CC=C(C(Br)=C1Br)C1=CC=C(Br)C(Br)=C1Br,-7.7563,BrC1=CC=C(C2=CC=C(Br)C(Br)=C2Br)C(Br)=C1Br
3817,CC1=C(Cl)C([O-])=C(Cl)C(Cl)=C1Cl,-4.6021,CC1=C(Cl)C([O-])=C(Cl)C(Cl)=C1Cl
60,CCCCCCCCCC(=O)OC1=CC=C(C=C1)C([O-])=O,-5.424547549700001,CCCCCCCCCC(=O)OC1=CC=C(C(=O)[O-])C=C1
5583,CC1=C(N=C2C=C(O)C(=O)C3=C2C=CC=C3)C(C)=NO1,-3.89,CC1=NOC(C)=C1N=C1C=C(O)C(=O)C2=C1C=CC=C2
543,OC1=CC(=CC(=C1)C([O-])=O)C([O-])=O,-2.005111367,O=C([O-])C1=CC(O)=CC(C(=O)[O-])=C1
4715,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,-4.3288,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1
6348,CSC1=CC=C2OC3=C(C=C(C=C3)C([O-])=O)C(=O)C2=C1,-5.32,CSC1=CC=C2OC3=C(C=C(C(=O)[O-])C=C3)C(=O)C2=C1
4789,C1=CC2=CC3=C4C=CC=CC4=C4C=CC=CC4=C3C=C2C=C1,-8.2405,C1=CC2=CC3=C4C=CC=CC4=C4C=CC=CC4=C3C=C2C=C1
4833,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1Cl,-3.94,O=[N+]([O-])C1=CC=C(Cl)C(Cl)=C1Cl
199,CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2O,-3.7003596507,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
7145,CC(CCC([O-])=O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,-4.82,CC(CCC(=O)[O-])C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C
3294,[O-][N+](=O)CCl,-0.281,O=[N+]([O-])CCl
7046,CCCCC(CC)CC(CC)(CC)C(=O)NO,-3.35,CCCCC(CC)CC(CC)(CC)C(=O)NO
6331,CCC(C)C([NH3+])C(=O)OCCOC(=O)C(C)C1=CC2=CC=C(OC)C=C2C=C1,-3.82,CCC(C)C([NH3+])C(=O)OCCOC(=O)C(C)C1=CC2=CC=C(OC)C=C2C=C1
972,ClCC1CO1,-0.1473736792,ClCC1CO1
6789,CC1C2C(O)C3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12,-2.87,CC1C2=CC=CC(O)=C2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21
2313,NS(=O)(=O)C1=CC(=CC=C1Cl)C1(O)NC(=O)C2=CC=CC=C12,-3.4507,NS(=O)(=O)C1=CC(C2(O)NC(=O)C3=CC=CC=C32)=CC=C1Cl
407,CCC(C)CCCC(C)(C)O,-2.7493446847000005,CCC(C)CCCC(C)(C)O
3273,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,-1.3469,CNC(=O)ON=CC(C)(C)S(C)(=O)=O
5030,ClC1=CC=CC(=C1Cl)C1=CC=CC=C1,-5.3498,ClC1=CC=CC(C2=CC=CC=C2)=C1Cl
1926,OCC1C[NH+]2CCN1CC2,0.8470942954,OCC1C[NH+]2CCN1CC2
4621,CCCCOP(=O)(OCCCC)OCCCCOCC,-2.6468,CCCCOP(=O)(OCCCC)OCCCCOCC
829,CC(=O)C(C)=CC1C(C)=CCCC1(C)C,-3.9923409786,CC(=O)C(C)=CC1C(C)=CCCC1(C)C
1560,CC[NH2+]CC,1.1358509819,CC[NH2+]CC
1253,NNC1=CC=C(Cl)C=C1,-1.5636654662,NNC1=CC=C(Cl)C=C1
3690,CCN(C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-3.7007,CCN(C1=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C1[N+](=O)[O-])[N+](=O)[O-]
82,CC(=C)C(=O)OCC(F)(F)F,-2.2684756839,C=C(C)C(=O)OCC(F)(F)F
1493,CC(CO)OC(=O)C(C)=C,-0.0449315461,C=C(C)C(=O)OC(C)CO
7674,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,-4.19,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl
3701,CC1(C)C2CCC1(C)C([NH3+])(C2)C([O-])=O,-1.5961,CC1(C)C2CCC1(C)C([NH3+])(C(=O)[O-])C2
2397,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=CC=C1,-5.2094,O=[N+]([O-])C1=CC=C(C2=CC=CC=C2)C=C1
3258,CC=CC(C)O,0.0152,CC=CC(C)O
2187,CCN(CC)C1=CC=C(N=NC2=C(C=C(C=C2C#N)[N+]([O-])=O)C#N)C(NC(C)=O)=C1,-8.1027530485,CCN(CC)C1=CC=C(N=NC2=C(C#N)C=C([N+](=O)[O-])C=C2C#N)C(NC(C)=O)=C1
1694,CCCCOC=C,-2.3379408202,C=COCCCC
1297,CCC[NH2+]CCC,-0.461082427,CCC[NH2+]CCC
2225,BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br,-9.9818960396,BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br
4672,CC(OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1)C([O-])=O,-3.092,CC(OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1)C(=O)[O-]
4689,COC(=O)CSC1=CC(N=C2SC(=O)N3CCCCN23)=C(F)C=C1Cl,-5.6768,COC(=O)CSC1=CC(N=C2SC(=O)N3CCCCN23)=C(F)C=C1Cl
4510,CCCCCCNC(=O)C1=CC=CN=C1,-2.5221,CCCCCCNC(=O)C1=CC=CN=C1
3104,CCOC(=O)NC(C=O)C(O)C(O)C(O)CO,0.1139,CCOC(=O)NC(C=O)C(O)C(O)C(O)CO
2309,CC1=CC(=CC=C1N)C(O)(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,-3.0272,CC1=CC(C(O)(C2=CC=C(N)C=C2)C2=CC=C(N)C=C2)=CC=C1N
1458,[O-]S(=O)S([O-])=O,0.0182921287,O=S([O-])S(=O)[O-]
3650,CC1=CC=C(C=C1O)[N+]([O-])=O,-2.1851,CC1=CC=C([N+](=O)[O-])C=C1O
4026,CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C,-1.9457,CC1=C(C)C(OC(=O)N(C)C)=NC(N(C)C)=N1
3956,CNC(=O)N(C)C1=NC2=CC=CC=C2S1,-3.5741,CNC(=O)N(C)C1=NC2=CC=CC=C2S1
1383,CC1COC(=O)O1,0.371232292,CC1COC(=O)O1
3483,[O-]C(=O)COC1=CC=CC(Cl)=C1Cl,-2.8097,O=C([O-])COC1=CC=CC(Cl)=C1Cl
657,CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC(O)=C3C(=O)CC(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O,-2.7224387153,CC1OC(OC2C(OC3=CC(O)=C4C(=O)CC(C5=CC=C(O)C=C5)OC4=C3)OC(CO)C(O)C2O)C(O)C(O)C1O
1635,CCCCC1=NC(Cl)=C(N1)C=O,-2.1991273723,CCCCC1=NC(Cl)=C(C=O)N1
1605,FC1=CC=CC=C1,-1.7924097659,FC1=CC=CC=C1
1577,O=S1(=O)CCCO1,-0.0868756938,O=S1(=O)CCCO1
273,CC1=CC(=O)N(CC2=CC(CN3C(=O)C=C(C)C3=O)=CC=C2)C1=O,-3.9003349932,CC1=CC(=O)N(CC2=CC=CC(CN3C(=O)C=C(C)C3=O)=C2)C1=O
7799,OCC(O)C1OC(=O)C(O)=C1[O-],0.28,O=C1OC(C(O)CO)C([O-])=C1O
6190,ClC1=CC=C(OC2=CC(Cl)=C(Cl)C=C2)C=C1Cl,-6.98,ClC1=CC=C(OC2=CC(Cl)=C(Cl)C=C2)C=C1Cl
5970,O=C1NC2=C(N1)C=[NH+]C(=O)N2,-3.6,O=C1NC2=C(N1)NC(=O)[NH+]=C2
285,COC1(C)CCC23CC1C(C)(C)C2CCC3C,-4.7401771795,COC1(C)CCC23CC1C(C)(C)C2CCC3C
878,[O-][N+](=O)C1=CC=C(OP(=S)(OC2=CC=C(C=C2)[N+]([O-])=O)OC2=CC=C(C=C2)[N+]([O-])=O)C=C1,-5.6788341975,O=[N+]([O-])C1=CC=C(OP(=S)(OC2=CC=C([N+](=O)[O-])C=C2)OC2=CC=C([N+](=O)[O-])C=C2)C=C1
4826,FC1=CC=C(F)C=C1,-1.9709,FC1=CC=C(F)C=C1
4572,CCC1=NC2=CNC(=O)N=C2N=C1CC,-2.2644,CCC1=NC2=CNC(=O)N=C2N=C1CC
3030,O=CC1=CC=C(C=O)C=C1,-2.8265,O=CC1=CC=C(C=O)C=C1
1517,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,-0.4861495515,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
2630,N(N=NC1=CC=CC=C1)C1=CC=CC=C1,-2.596,C1=CC=C(N=NNC2=CC=CC=C2)C=C1
3368,O=C1NC2=C(CCC2)C(=O)N1C1CCCCC1,-4.5916,O=C1NC2=C(CCC2)C(=O)N1C1CCCCC1
1228,OCC[NH+](CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,0.1444215392,O=C([O-])CN(CC[NH+](CCO)CC(=O)[O-])CC(=O)[O-]
4238,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,-3.7306,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1
5921,CC1=NC2=NC=NC=C2N1,-0.41,CC1=NC2=NC=NC=C2N1
2006,COCC(NC(C)=O)C(=O)NCC1=CC=CC=C1,-3.3984573794,COCC(NC(C)=O)C(=O)NCC1=CC=CC=C1
718,O=C(OC1CCCCC1)C1=CC=CC=C1C(=O)OC1CCCCC1,-5.5126055421,O=C(OC1CCCCC1)C1=CC=CC=C1C(=O)OC1CCCCC1
2618,OC1=CC=C(Cl)C2=CC=CN=C12,-3.9756,OC1=CC=C(Cl)C2=CC=CN=C12
